0,50000; 1,00000; 0,49932 - 0,60664; 0,00000 - 0,00016; 1,00000 - 0,99984; 0,50000 - 0,49992; 0,50068 - 0,49992
1,00000; 1,00000; 0,00281 - 0,36923; 0,00000 - 0,00308; 1,00000 - 0,99692; 1,00000 - 0,99692; 0,99719 - 0,99692
1,50000; 1,00000; 0,00024 - 0,22735; 0,00000 - 0,01439; 1,00000 - 0,98561; 1,50000 - 1,47842; 1,49434 - 1,47842
2,00000; 1,00000; 0,00031 - 0,14286; 0,00000 - 0,03810; 1,00000 - 0,96190; 2,00000 - 1,92381; 1,95331 - 1,92381
2,50000; 1,00000; 0,00039 - 0,09211; 0,00000 - 0,07496; 1,00000 - 0,92504; 2,50000 - 2,31260; 2,46082 - 2,31260
3,00000; 1,00000; 0,00046 - 0,06107; 0,00000 - 0,12366; 1,00000 - 0,87634; 3,00000 - 2,62901; 2,89476 - 2,62901
3,50000; 1,00000; 0,00054 - 0,04163; 0,00000 - 0,18219; 1,00000 - 0,81781; 3,50000 - 2,86234; 3,35622 - 2,86234
4,00000; 1,00000; 0,00060 - 0,02913; 0,00000 - 0,24854; 1,00000 - 0,75146; 4,00000 - 3,00583; 3,75495 - 3,00583
4,50000; 1,00000; 0,00068 - 0,02088; 0,00000 - 0,32104; 1,00000 - 0,67896; 4,50000 - 3,05532; 4,23848 - 3,05532
5,00000; 1,00000; 0,00078 - 0,01530; 0,00000 - 0,39834; 1,00000 - 0,60166; 5,00000 - 3,00829; 4,85200 - 3,00829
5,50000; 1,00000; 0,00085 - 0,01143; 0,16000 - 0,47942; 0,84000 - 0,52058; 4,62000 - 2,86320; 4,39966 - 2,86320
6,00000; 1,00000; 0,00092 - 0,00870; 0,16000 - 0,56348; 0,84000 - 0,43652; 5,04000 - 2,61913; 4,77135 - 2,61913
